United States and territories,59.6%
Germany,33.2%
China and territories,14.3%
France and territories,11.7%
Singapore,5.5%
Japan,5.5%
Italy,5.4%
Russian Federation,4.8%
United Kingdom and territories,4.6%
Netherlands and territories,4.3%
Finland and territories,4.3%
Ireland,3.6%
Iran,2.9%
India,2.9%
Poland,2.8%
Czech Republic,1.7%
Taiwan,1.5%
South Korea,1.1%
Switzerland,1.1%
Sweden,1.1%
Turkey,0.8%
Canada,0.8%
Belgium,0.7%
Viet Nam,0.6%
Indonesia,0.6%
Austria,0.4%
Luxembourg,0.4%
Australia,0.3%
Brazil,0.3%
Kazakhstan,0.3%
United Arab Emirates,0.3%
Venezuela,0.3%
Afghanistan,0.3%
Thailand,0.1%
Spain,0.1%
Denmark and territories,0.1%
Malaysia,0.1%
Argentina,0.1%
Chile,0.1%
Iceland,0.1%
Bosnia and Herzegovina,0.1%
Cyprus,0.1%
Angola,0.1%
